level,difficulty_functions,operations,n_functions,releaseInterval,speedup,bonus,balloon_lifetime_min,balloon_lifetime_max,functions_raw
13,"[13, 12, 11]","['addition', 'percentage', 'subtraction']",3,4000.0,-2500,0.0,12500,14500,"[{'operation': 'addition', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}, {'operation': 'subtraction', 'left': {'min': 21, 'max': 70}, 'right': {'min': 11, 'max': 30}}, {'operation': 'percentage', 'left': [10, 20, 50], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}]"
14,"[14, 13, 12]","['addition', 'multiplication', 'subtraction']",3,4000.0,-2500,0.0,12500,14500,"[{'operation': 'multiplication', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}, {'operation': 'addition', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}, {'operation': 'subtraction', 'left': {'min': 21, 'max': 70}, 'right': {'min': 11, 'max': 30}}]"
15,"[15, 14, 13]","['addition', 'multiplication']",3,4000.0,-2500,0.0,12500,14500,"[{'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}}, {'operation': 'multiplication', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}, {'operation': 'addition', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}]"
16,"[16, 15, 14]","['addition', 'multiplication', 'percentage']",3,4000.0,-2000,0.0,12000,14000,"[{'operation': 'percentage', 'left': [10, 20, 25, 40], 'right': [4, 5, 6, 8, 10, 12, 15]}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}}, {'operation': 'multiplication', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}]"
17,"[17, 16, 15]","['addition', 'percentage', 'subtraction']",3,,0,,10000,12000,"[{'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 75, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}, {'operation': 'percentage', 'left': [10, 20, 25, 40], 'right': [4, 5, 6, 8, 10, 12, 15]}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}}]"
18,"[18, 17, 16]","['fraction', 'percentage', 'subtraction']",3,,0,,10000,12000,"[{'operation': 'fraction', 'left': ['1/3', '2/3', '1/5', '2/5', '3/5', '4/5', '1/8', '3/8'], 'right': {'min': 6, 'max': 20}}, {'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 75, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}, {'operation': 'percentage', 'left': [10, 20, 25, 40], 'right': [4, 5, 6, 8, 10, 12, 15]}]"
19,"[19, 18, 17]","['fraction', 'subtraction']",3,,0,,10000,12000,"[{'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}}, {'operation': 'fraction', 'left': ['1/3', '2/3', '1/5', '2/5', '3/5', '4/5', '1/8', '3/8'], 'right': {'min': 6, 'max': 20}}, {'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 75, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}]"
20,"[20, 19, 18]","['division', 'fraction', 'subtraction']",3,,0,,10000,12000,"[{'operation': 'division', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}, {'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}}, {'operation': 'fraction', 'left': ['1/3', '2/3', '1/5', '2/5', '3/5', '4/5', '1/8', '3/8'], 'right': {'min': 6, 'max': 20}}]"
21,"[21, 20, 19]","['addition', 'division', 'subtraction']",3,,0,,10000,12000,"[{'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}, 'decimal': 10.0}, {'operation': 'division', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}, {'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}}]"
22,"[22, 21, 20]","['addition', 'division', 'multiplication']",3,,0,,10000,12000,"[{'operation': 'multiplication', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}, 'decimal': 10.0}, {'operation': 'division', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}]"
23,"[23, 22, 21]","['addition', 'multiplication', 'subtraction']",3,,0,,10000,12000,"[{'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}, 'decimal': 10.0}, {'operation': 'multiplication', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}, 'decimal': 10.0}]"
24,"[24, 23, 22]","['division', 'multiplication', 'subtraction']",3,,0,,10000,12000,"[{'operation': 'division', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}, {'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}, 'decimal': 10.0}, {'operation': 'multiplication', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}]"
25,"[25, 24, 23]","['division', 'fraction', 'subtraction']",3,,0,,10000,12000,"[{'operation': 'fraction', 'left': ['1/5', '2/5', '3/5', '4/5', '1/6', '5/6', '1/8', '3/8', '5/8', '7/8'], 'right': {'min': 11, 'max': 50}}, {'operation': 'division', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}, {'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}, 'decimal': 10.0}]"
26,"[26, 25, 24]","['division', 'fraction', 'percentage']",3,,0,,10000,12000,"[{'operation': 'percentage', 'left': [15, 30, 40, 60, 70, 80, 85], 'right': [30, 40, 50, 60, 70, 80, 90]}, {'operation': 'fraction', 'left': ['1/5', '2/5', '3/5', '4/5', '1/6', '5/6', '1/8', '3/8', '5/8', '7/8'], 'right': {'min': 11, 'max': 50}}, {'operation': 'division', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}]"
27,"[27, 26, 25]","['addition', 'fraction', 'percentage']",3,,0,,10000,12000,"[{'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 111, 'max': 899}}, {'operation': 'percentage', 'left': [15, 30, 40, 60, 70, 80, 85], 'right': [30, 40, 50, 60, 70, 80, 90]}, {'operation': 'fraction', 'left': ['1/5', '2/5', '3/5', '4/5', '1/6', '5/6', '1/8', '3/8', '5/8', '7/8'], 'right': {'min': 11, 'max': 50}}]"
28,"[28, 27, 26]","['addition', 'percentage', 'subtraction']",3,,0,,10000,12000,"[{'operation': 'subtraction', 'left': {'min': 212, 'max': 899}, 'right': {'min': 111, 'max': 899}}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 111, 'max': 899}}, {'operation': 'percentage', 'left': [15, 30, 40, 60, 70, 80, 85], 'right': [30, 40, 50, 60, 70, 80, 90]}]"
29,"[29, 28, 27]","['addition', 'subtraction']",3,,0,,10000,12000,"[{'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 111, 'max': 899}, 'decimal': 100.0}, {'operation': 'subtraction', 'left': {'min': 212, 'max': 899}, 'right': {'min': 111, 'max': 899}}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 111, 'max': 899}}]"
30,"[30, 29, 28]","['addition', 'subtraction']",3,,0,,10000,12000,"[{'operation': 'subtraction', 'left': {'min': 212, 'max': 899}, 'right': {'min': 111, 'max': 899}, 'decimal': 100.0}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 111, 'max': 899}, 'decimal': 100.0}, {'operation': 'subtraction', 'left': {'min': 212, 'max': 899}, 'right': {'min': 111, 'max': 899}}]"
