AccountId,AssessmentId,AssessmentVersionId,Score,DisplayScore,Percentage,Percentile,CreationDate,AssessmentResultId,AnswerTypeId,ResourceDescription,TotalResponses,CorrectResponses,BonusAwards,Level,FailedLevels,EarlyResponses,LateResponses
692481,20,114,46,4600,54.76190476,0,2025-10-14 08:36:11,6983001,2,Responses,46,46,,,,1,3
692481,20,114,46,4600,54.76190476,0,2025-10-14 08:36:11,6983001,3,Reaction Time,,,,,,,
692481,20,114,46,4600,54.76190476,0,2025-10-14 08:36:11,6983001,4,Level,,,,17,"11:1:9,12:1:11,14:1:12,17:1:16,18:1:17",,
692481,20,114,46,4600,54.76190476,0,2025-10-14 08:36:11,6983001,6,Bonus Awards,,,0,,,,
694707,20,114,15,1500,17.85714286,0,2025-10-14 08:03:10,6982946,2,Responses,16,15,,,,1,0
694707,20,114,15,1500,17.85714286,0,2025-10-14 08:03:10,6982946,3,Reaction Time,,,,,,,
694707,20,114,15,1500,17.85714286,0,2025-10-14 08:03:10,6982946,4,Level,,,,8,"6:1:4,7:1:5,8:1:6,9:1:7,9:2:7",,
694707,20,114,15,1500,17.85714286,0,2025-10-14 08:03:10,6982946,6,Bonus Awards,,,0,,,,
670159,20,114,31,3100,36.9047619,0,2025-10-14 07:58:52,6982940,2,Responses,43,31,,,,9,3
670159,20,114,31,3100,36.9047619,0,2025-10-14 07:58:52,6982940,3,Reaction Time,,,,,,,
670159,20,114,31,3100,36.9047619,0,2025-10-14 07:58:52,6982940,4,Level,,,,12,"11:1:9,12:1:10,13:1:11,13:2:11,13:3:12",,
670159,20,114,31,3100,36.9047619,0,2025-10-14 07:58:52,6982940,6,Bonus Awards,,,0,,,,
693527,20,114,13,1300,15.47619048,0,2025-10-14 07:42:37,6982899,2,Responses,16,13,,,,0,4
693527,20,114,13,1300,15.47619048,0,2025-10-14 07:42:37,6982899,3,Reaction Time,,,,,,,
693527,20,114,13,1300,15.47619048,0,2025-10-14 07:42:37,6982899,4,Level,,,,8,"6:1:4,7:1:5,7:2:5,8:1:6,9:1:7",,
693527,20,114,13,1300,15.47619048,0,2025-10-14 07:42:37,6982899,6,Bonus Awards,,,0,,,,
694694,20,114,26,2600,30.95238095,0,2025-10-14 07:36:25,6982885,2,Responses,27,26,,,,1,4
694694,20,114,26,2600,30.95238095,0,2025-10-14 07:36:25,6982885,3,Reaction Time,,,,,,,
694694,20,114,26,2600,30.95238095,0,2025-10-14 07:36:25,6982885,4,Level,,,,11,"10:1:9,12:1:10,12:2:10,12:3:11,12:4:11",,
694694,20,114,26,2600,30.95238095,0,2025-10-14 07:36:25,6982885,6,Bonus Awards,,,0,,,,
694125,20,114,42,4200,50,0,2025-10-14 07:21:24,6982859,2,Responses,43,42,,,,1,12
694125,20,114,42,4200,50,0,2025-10-14 07:21:24,6982859,3,Reaction Time,,,,,,,
694125,20,114,42,4200,50,0,2025-10-14 07:21:24,6982859,4,Level,,,,16,"11:1:10,12:1:10,12:2:10,12:3:11,17:1:16",,
694125,20,114,42,4200,50,0,2025-10-14 07:21:24,6982859,6,Bonus Awards,,,0,,,,
694312,20,114,23,2300,27.38095238,0,2025-10-14 07:07:47,6982833,2,Responses,26,23,,,,1,3
694312,20,114,23,2300,27.38095238,0,2025-10-14 07:07:47,6982833,3,Reaction Time,,,,,,,
694312,20,114,23,2300,27.38095238,0,2025-10-14 07:07:47,6982833,4,Level,,,,11,"10:1:8,11:1:9,11:2:9,12:1:10,12:2:10",,
694312,20,114,23,2300,27.38095238,0,2025-10-14 07:07:47,6982833,6,Bonus Awards,,,0,,,,
694695,20,114,29,2900,34.52380952,0,2025-10-14 07:02:27,6982822,2,Responses,34,29,,,,9,5
694695,20,114,29,2900,34.52380952,0,2025-10-14 07:02:27,6982822,3,Reaction Time,,,,,,,
694695,20,114,29,2900,34.52380952,0,2025-10-14 07:02:27,6982822,4,Level,,,,12,"11:1:9,11:2:9,12:1:10,12:2:10,13:1:11",,
694695,20,114,29,2900,34.52380952,0,2025-10-14 07:02:27,6982822,6,Bonus Awards,,,0,,,,
694689,20,114,29,2900,34.52380952,0,2025-10-14 06:47:43,6982789,2,Responses,31,29,,,,0,3
694689,20,114,29,2900,34.52380952,0,2025-10-14 06:47:43,6982789,3,Reaction Time,,,,,,,
694689,20,114,29,2900,34.52380952,0,2025-10-14 06:47:43,6982789,4,Level,,,,12,"11:1:9,11:2:10,12:1:10,12:2:11,13:1:12",,
694689,20,114,29,2900,34.52380952,0,2025-10-14 06:47:43,6982789,6,Bonus Awards,,,0,,,,
694688,20,114,47,4700,55.95238095,0,2025-10-14 06:41:50,6982779,2,Responses,49,47,,,,0,11
694688,20,114,47,4700,55.95238095,0,2025-10-14 06:41:50,6982779,3,Reaction Time,,,,,,,
694688,20,114,47,4700,55.95238095,0,2025-10-14 06:41:50,6982779,4,Level,,,,18,"13:1:12,15:1:13,18:1:17,18:2:17,19:1:17",,
694688,20,114,47,4700,55.95238095,0,2025-10-14 06:41:50,6982779,6,Bonus Awards,,,0,,,,
694687,20,114,25,2500,29.76190476,0,2025-10-14 06:37:41,6982774,2,Responses,29,25,,,,0,3
694687,20,114,25,2500,29.76190476,0,2025-10-14 06:37:41,6982774,3,Reaction Time,,,,,,,
694687,20,114,25,2500,29.76190476,0,2025-10-14 06:37:41,6982774,4,Level,,,,11,"7:1:5,8:1:6,10:1:8,11:1:9,12:1:10",,
694687,20,114,25,2500,29.76190476,0,2025-10-14 06:37:41,6982774,6,Bonus Awards,,,0,,,,
419521,20,114,37,3700,44.04761905,0,2025-10-14 06:27:27,6982759,2,Responses,38,37,,,,1,9
419521,20,114,37,3700,44.04761905,0,2025-10-14 06:27:27,6982759,3,Reaction Time,,,,,,,
419521,20,114,37,3700,44.04761905,0,2025-10-14 06:27:27,6982759,4,Level,,,,14,"12:1:10,12:2:11,14:1:12,14:2:13,15:1:13",,
419521,20,114,37,3700,44.04761905,0,2025-10-14 06:27:27,6982759,6,Bonus Awards,,,0,,,,
694684,20,114,26,2600,30.95238095,0,2025-10-14 06:01:56,6982709,2,Responses,29,26,,,,0,12
694684,20,114,26,2600,30.95238095,0,2025-10-14 06:01:56,6982709,3,Reaction Time,,,,,,,
694684,20,114,26,2600,30.95238095,0,2025-10-14 06:01:56,6982709,4,Level,,,,11,"8:1:7,9:1:8,12:1:10,12:2:11,12:3:11",,
694684,20,114,26,2600,30.95238095,0,2025-10-14 06:01:56,6982709,6,Bonus Awards,,,0,,,,
694664,20,114,51,5100,60.71428571,0,2025-10-14 05:39:29,6982637,2,Responses,54,51,,,,1,18
694664,20,114,51,5100,60.71428571,0,2025-10-14 05:39:29,6982637,3,Reaction Time,,,,,,,
694664,20,114,51,5100,60.71428571,0,2025-10-14 05:39:29,6982637,4,Level,,,,20,"12:1:10,13:1:11,19:1:18,20:1:18,21:1:19",,
694664,20,114,51,5100,60.71428571,0,2025-10-14 05:39:29,6982637,6,Bonus Awards,,,0,,,,
694597,20,114,17,1700,20.23809524,0,2025-10-14 05:37:34,6982630,2,Responses,19,17,,,,1,3
694597,20,114,17,1700,20.23809524,0,2025-10-14 05:37:34,6982630,3,Reaction Time,,,,,,,
694597,20,114,17,1700,20.23809524,0,2025-10-14 05:37:34,6982630,4,Level,,,,8,"5:1:3,6:1:4,8:1:7,9:1:7,9:2:7",,
694597,20,114,17,1700,20.23809524,0,2025-10-14 05:37:34,6982630,6,Bonus Awards,,,0,,,,
694665,20,114,77,7700,91.66666667,0,2025-10-14 05:35:16,6982623,2,Responses,80,77,,,,4,6
694665,20,114,77,7700,91.66666667,0,2025-10-14 05:35:16,6982623,3,Reaction Time,,,,,,,
694665,20,114,77,7700,91.66666667,0,2025-10-14 05:35:16,6982623,4,Level,,,,28,"17:1:16,20:1:18,27:1:25,28:1:27,29:1:28",,
694665,20,114,77,7700,91.66666667,0,2025-10-14 05:35:16,6982623,6,Bonus Awards,,,0,,,,
346169,20,114,14,1400,16.66666667,0,2025-10-14 05:31:44,6982616,2,Responses,16,14,,,,0,2
346169,20,114,14,1400,16.66666667,0,2025-10-14 05:31:44,6982616,3,Reaction Time,,,,,,,
346169,20,114,14,1400,16.66666667,0,2025-10-14 05:31:44,6982616,4,Level,,,,7,"5:1:4,6:1:4,6:2:5,7:1:6,8:1:6",,
346169,20,114,14,1400,16.66666667,0,2025-10-14 05:31:44,6982616,6,Bonus Awards,,,0,,,,
694685,20,114,43,4300,51.19047619,0,2025-10-14 05:31:33,6982615,2,Responses,48,43,,,,3,4
694685,20,114,43,4300,51.19047619,0,2025-10-14 05:31:33,6982615,3,Reaction Time,,,,,,,
694685,20,114,43,4300,51.19047619,0,2025-10-14 05:31:33,6982615,4,Level,,,,17,"11:1:10,13:1:11,15:1:14,17:1:16,18:1:16",,
694685,20,114,43,4300,51.19047619,0,2025-10-14 05:31:33,6982615,6,Bonus Awards,,,0,,,,
550084,20,114,24,2400,28.57142857,0,2025-10-14 05:26:26,6982601,2,Responses,25,24,,,,1,3
550084,20,114,24,2400,28.57142857,0,2025-10-14 05:26:26,6982601,3,Reaction Time,,,,,,,
550084,20,114,24,2400,28.57142857,0,2025-10-14 05:26:26,6982601,4,Level,,,,10,"9:1:7,10:1:8,10:2:8,10:3:9,11:1:9",,
550084,20,114,24,2400,28.57142857,0,2025-10-14 05:26:26,6982601,6,Bonus Awards,,,0,,,,
365721,20,114,33,3300,39.28571429,0,2025-10-14 05:16:04,6982571,2,Responses,37,33,,,,1,0
365721,20,114,33,3300,39.28571429,0,2025-10-14 05:16:04,6982571,3,Reaction Time,,,,,,,
365721,20,114,33,3300,39.28571429,0,2025-10-14 05:16:04,6982571,4,Level,,,,13,"7:1:6,8:1:6,12:1:11,13:1:12,14:1:13",,
365721,20,114,33,3300,39.28571429,0,2025-10-14 05:16:04,6982571,6,Bonus Awards,,,0,,,,
608554,20,114,83,8300,98.80952381,0,2025-10-14 05:13:17,6982566,2,Responses,88,83,,,,6,14
608554,20,114,83,8300,98.80952381,0,2025-10-14 05:13:17,6982566,3,Reaction Time,,,,,,,
608554,20,114,83,8300,98.80952381,0,2025-10-14 05:13:17,6982566,4,Level,,,,29,"21:1:19,27:1:25,27:2:26,30:1:29,30:2:29",,
608554,20,114,83,8300,98.80952381,0,2025-10-14 05:13:17,6982566,6,Bonus Awards,,,0,,,,
694677,20,114,25,2500,29.76190476,0,2025-10-14 05:07:31,6982550,2,Responses,27,25,,,,1,6
694677,20,114,25,2500,29.76190476,0,2025-10-14 05:07:31,6982550,3,Reaction Time,,,,,,,
694677,20,114,25,2500,29.76190476,0,2025-10-14 05:07:31,6982550,4,Level,,,,11,"6:1:4,9:1:7,10:1:8,10:2:9,12:1:10",,
694677,20,114,25,2500,29.76190476,0,2025-10-14 05:07:31,6982550,6,Bonus Awards,,,0,,,,
446514,20,114,39,3900,46.42857143,0,2025-10-14 05:01:55,6982537,2,Responses,43,39,,,,2,2
446514,20,114,39,3900,46.42857143,0,2025-10-14 05:01:55,6982537,3,Reaction Time,,,,,,,
446514,20,114,39,3900,46.42857143,0,2025-10-14 05:01:55,6982537,4,Level,,,,15,"12:1:11,13:1:12,13:2:12,14:1:13,16:1:14",,
446514,20,114,39,3900,46.42857143,0,2025-10-14 05:01:55,6982537,6,Bonus Awards,,,0,,,,
317266,20,114,41,4100,48.80952381,0,2025-10-14 04:43:11,6982506,2,Responses,46,41,,,,21,2
317266,20,114,41,4100,48.80952381,0,2025-10-14 04:43:11,6982506,3,Reaction Time,,,,,,,
317266,20,114,41,4100,48.80952381,0,2025-10-14 04:43:11,6982506,4,Level,,,,16,"14:1:13,14:2:13,15:1:13,15:2:14,17:1:16",,
317266,20,114,41,4100,48.80952381,0,2025-10-14 04:43:11,6982506,6,Bonus Awards,,,0,,,,
694668,20,114,27,2700,32.14285714,0,2025-10-14 04:41:46,6982503,2,Responses,29,27,,,,4,1
694668,20,114,27,2700,32.14285714,0,2025-10-14 04:41:46,6982503,3,Reaction Time,,,,,,,
694668,20,114,27,2700,32.14285714,0,2025-10-14 04:41:46,6982503,4,Level,,,,11,"11:1:10,12:1:10,12:2:10,12:3:11,12:4:11",,
694668,20,114,27,2700,32.14285714,0,2025-10-14 04:41:46,6982503,6,Bonus Awards,,,0,,,,
694676,20,114,48,4800,57.14285714,0,2025-10-14 04:36:31,6982485,2,Responses,51,48,,,,7,3
694676,20,114,48,4800,57.14285714,0,2025-10-14 04:36:31,6982485,3,Reaction Time,,,,,,,
694676,20,114,48,4800,57.14285714,0,2025-10-14 04:36:31,6982485,4,Level,,,,18,"12:1:11,13:1:11,19:1:17,19:2:18,19:3:18",,
694676,20,114,48,4800,57.14285714,0,2025-10-14 04:36:31,6982485,6,Bonus Awards,,,0,,,,
475266,20,114,8,800,9.523809524,0,2025-10-14 04:21:20,6982431,2,Responses,8,8,,,,1,1
475266,20,114,8,800,9.523809524,0,2025-10-14 04:21:20,6982431,3,Reaction Time,,,,,,,
475266,20,114,8,800,9.523809524,0,2025-10-14 04:21:20,6982431,4,Level,,,,5,"5:1:3,5:2:4,6:1:4,6:2:4,6:3:5",,
475266,20,114,8,800,9.523809524,0,2025-10-14 04:21:20,6982431,6,Bonus Awards,,,0,,,,
694667,20,114,10,1000,11.9047619,0,2025-10-14 04:12:24,6982410,2,Responses,12,10,,,,0,6
694667,20,114,10,1000,11.9047619,0,2025-10-14 04:12:24,6982410,3,Reaction Time,,,,,,,
694667,20,114,10,1000,11.9047619,0,2025-10-14 04:12:24,6982410,4,Level,,,,5,"4:1:2,5:1:3,6:1:4,6:2:4,6:3:5",,
694667,20,114,10,1000,11.9047619,0,2025-10-14 04:12:24,6982410,6,Bonus Awards,,,0,,,,
694675,20,114,39,3900,46.42857143,0,2025-10-14 04:09:19,6982402,2,Responses,44,39,,,,3,8
694675,20,114,39,3900,46.42857143,0,2025-10-14 04:09:19,6982402,3,Reaction Time,,,,,,,
694675,20,114,39,3900,46.42857143,0,2025-10-14 04:09:19,6982402,4,Level,,,,15,"12:1:10,12:2:11,15:1:14,16:1:15,16:2:15",,
694675,20,114,39,3900,46.42857143,0,2025-10-14 04:09:19,6982402,6,Bonus Awards,,,0,,,,
694673,20,114,45,4500,53.57142857,0,2025-10-14 04:04:11,6982389,2,Responses,50,45,,,,1,7
694673,20,114,45,4500,53.57142857,0,2025-10-14 04:04:11,6982389,3,Reaction Time,,,,,,,
694673,20,114,45,4500,53.57142857,0,2025-10-14 04:04:11,6982389,4,Level,,,,18,"13:1:12,17:1:15,17:2:16,18:1:17,19:1:17",,
694673,20,114,45,4500,53.57142857,0,2025-10-14 04:04:11,6982389,6,Bonus Awards,,,0,,,,
386012,20,114,44,4400,52.38095238,0,2025-10-14 03:59:57,6982375,2,Responses,46,44,,,,1,8
386012,20,114,44,4400,52.38095238,0,2025-10-14 03:59:57,6982375,3,Reaction Time,,,,,,,
386012,20,114,44,4400,52.38095238,0,2025-10-14 03:59:57,6982375,4,Level,,,,16,"15:1:13,15:2:14,16:1:14,17:1:16,17:2:16",,
386012,20,114,44,4400,52.38095238,0,2025-10-14 03:59:57,6982375,6,Bonus Awards,,,0,,,,
656017,20,114,40,4000,47.61904762,0,2025-10-14 03:59:47,6982374,2,Responses,44,40,,,,2,5
656017,20,114,40,4000,47.61904762,0,2025-10-14 03:59:47,6982374,3,Reaction Time,,,,,,,
656017,20,114,40,4000,47.61904762,0,2025-10-14 03:59:47,6982374,4,Level,,,,16,"13:1:12,14:1:12,14:2:13,15:1:14,17:1:16",,
656017,20,114,40,4000,47.61904762,0,2025-10-14 03:59:47,6982374,6,Bonus Awards,,,0,,,,
694644,20,114,26,2600,30.95238095,0,2025-10-14 03:59:24,6982372,2,Responses,27,26,,,,3,1
694644,20,114,26,2600,30.95238095,0,2025-10-14 03:59:24,6982372,3,Reaction Time,,,,,,,
694644,20,114,26,2600,30.95238095,0,2025-10-14 03:59:24,6982372,4,Level,,,,11,"9:1:7,11:1:9,12:1:10,12:2:11,12:3:11",,
694644,20,114,26,2600,30.95238095,0,2025-10-14 03:59:24,6982372,6,Bonus Awards,,,0,,,,
694672,20,114,10,1000,11.9047619,0,2025-10-14 03:57:23,6982368,2,Responses,12,10,,,,0,1
694672,20,114,10,1000,11.9047619,0,2025-10-14 03:57:23,6982368,3,Reaction Time,,,,,,,
694672,20,114,10,1000,11.9047619,0,2025-10-14 03:57:23,6982368,4,Level,,,,6,"5:1:4,6:1:4,6:2:4,7:1:5,7:2:5",,
694672,20,114,10,1000,11.9047619,0,2025-10-14 03:57:23,6982368,6,Bonus Awards,,,0,,,,
694624,20,114,32,3200,38.0952381,0,2025-10-14 03:53:37,6982349,2,Responses,35,32,,,,0,1
694624,20,114,32,3200,38.0952381,0,2025-10-14 03:53:37,6982349,3,Reaction Time,,,,,,,
694624,20,114,32,3200,38.0952381,0,2025-10-14 03:53:37,6982349,4,Level,,,,13,"12:1:11,13:1:12,13:2:12,14:1:13,14:2:13",,
694624,20,114,32,3200,38.0952381,0,2025-10-14 03:53:37,6982349,6,Bonus Awards,,,0,,,,
468852,20,114,10,1000,11.9047619,0,2025-10-14 03:49:09,6982334,2,Responses,11,10,,,,0,2
468852,20,114,10,1000,11.9047619,0,2025-10-14 03:49:09,6982334,3,Reaction Time,,,,,,,
468852,20,114,10,1000,11.9047619,0,2025-10-14 03:49:09,6982334,4,Level,,,,5,"5:1:3,5:2:4,6:1:4,6:2:4,6:3:5",,
468852,20,114,10,1000,11.9047619,0,2025-10-14 03:49:09,6982334,6,Bonus Awards,,,0,,,,
694671,20,114,61,6100,72.61904762,0,2025-10-14 03:42:03,6982313,2,Responses,69,61,,,,3,13
694671,20,114,61,6100,72.61904762,0,2025-10-14 03:42:03,6982313,3,Reaction Time,,,,,,,
694671,20,114,61,6100,72.61904762,0,2025-10-14 03:42:03,6982313,4,Level,,,,23,"13:1:12,20:1:19,21:1:20,24:1:22,24:2:23",,
694671,20,114,61,6100,72.61904762,0,2025-10-14 03:42:03,6982313,6,Bonus Awards,,,0,,,,
694670,20,114,26,2600,30.95238095,0,2025-10-14 03:37:39,6982307,2,Responses,30,26,,,,3,3
694670,20,114,26,2600,30.95238095,0,2025-10-14 03:37:39,6982307,3,Reaction Time,,,,,,,
694670,20,114,26,2600,30.95238095,0,2025-10-14 03:37:39,6982307,4,Level,,,,11,"10:1:8,10:2:9,12:1:10,12:2:10,12:3:11",,
694670,20,114,26,2600,30.95238095,0,2025-10-14 03:37:39,6982307,6,Bonus Awards,,,0,,,,
694661,20,114,24,2400,28.57142857,0,2025-10-14 03:24:50,6982272,2,Responses,27,24,,,,0,2
694661,20,114,24,2400,28.57142857,0,2025-10-14 03:24:50,6982272,3,Reaction Time,,,,,,,
694661,20,114,24,2400,28.57142857,0,2025-10-14 03:24:50,6982272,4,Level,,,,11,"8:1:6,11:1:9,11:2:9,12:1:10,12:2:10",,
694661,20,114,24,2400,28.57142857,0,2025-10-14 03:24:50,6982272,6,Bonus Awards,,,0,,,,
694147,20,114,46,4600,54.76190476,0,2025-10-14 02:55:52,6982213,2,Responses,52,46,,,,2,6
694147,20,114,46,4600,54.76190476,0,2025-10-14 02:55:52,6982213,3,Reaction Time,,,,,,,
694147,20,114,46,4600,54.76190476,0,2025-10-14 02:55:52,6982213,4,Level,,,,17,"7:1:5,17:1:15,17:2:16,18:1:17,18:2:17",,
694147,20,114,46,4600,54.76190476,0,2025-10-14 02:55:52,6982213,6,Bonus Awards,,,0,,,,
694653,20,114,42,4200,50,0,2025-10-14 02:52:10,6982206,2,Responses,51,42,,,,2,7
694653,20,114,42,4200,50,0,2025-10-14 02:52:10,6982206,3,Reaction Time,,,,,,,
694653,20,114,42,4200,50,0,2025-10-14 02:52:10,6982206,4,Level,,,,17,"8:1:6,13:1:12,14:1:12,14:2:13,18:1:16",,
694653,20,114,42,4200,50,0,2025-10-14 02:52:10,6982206,6,Bonus Awards,,,0,,,,
693128,20,114,59,5900,70.23809524,0,2025-10-14 02:24:26,6982171,2,Responses,68,59,,,,15,4
693128,20,114,59,5900,70.23809524,0,2025-10-14 02:24:26,6982171,3,Reaction Time,,,,,,,
693128,20,114,59,5900,70.23809524,0,2025-10-14 02:24:26,6982171,4,Level,,,,22,"20:1:19,20:2:19,21:1:19,21:2:20,23:1:22",,
693128,20,114,59,5900,70.23809524,0,2025-10-14 02:24:26,6982171,6,Bonus Awards,,,0,,,,
360360,20,114,20,2000,23.80952381,0,2025-10-14 02:24:04,6982169,2,Responses,28,20,,,,4,2
360360,20,114,20,2000,23.80952381,0,2025-10-14 02:24:04,6982169,3,Reaction Time,,,,,,,
360360,20,114,20,2000,23.80952381,0,2025-10-14 02:24:04,6982169,4,Level,,,,10,"6:1:5,9:1:7,9:2:8,10:1:9,11:1:9",,
360360,20,114,20,2000,23.80952381,0,2025-10-14 02:24:04,6982169,6,Bonus Awards,,,0,,,,
694621,20,114,25,2500,29.76190476,0,2025-10-14 02:09:01,6982144,2,Responses,26,25,,,,1,0
694621,20,114,25,2500,29.76190476,0,2025-10-14 02:09:01,6982144,3,Reaction Time,,,,,,,
694621,20,114,25,2500,29.76190476,0,2025-10-14 02:09:01,6982144,4,Level,,,,11,"11:1:9,12:1:10,12:2:10,12:3:10,12:4:11",,
694621,20,114,25,2500,29.76190476,0,2025-10-14 02:09:01,6982144,6,Bonus Awards,,,0,,,,
