item_i,item_j,Q3,aQ3
L10,L17,0.019261361997665725,0.02323756220641894
L1,L9,0.01884861850787525,0.022824818716628465
L1,L10,0.01813014258083691,0.022106342789590127
L4,L10,0.01607489180069557,0.020051092009448785
L1,L4,0.015773201843087645,0.01974940205184086
L2,L9,0.01359049278237547,0.017566692991128688
L1,L12,0.013485824257552773,0.01746202446630599
L2,L10,0.013304289431802894,0.01728048964055611
L3,L12,0.012915777140916147,0.016891977349669362
L4,L6,0.012233940902329094,0.01621014111108231
L6,L11,0.01201798861898995,0.015994188827743165
L3,L8,0.012017261089992515,0.01599346129874573
L10,L12,0.011291932559617768,0.015268132768370985
L3,L18,0.010876600440658274,0.01485280064941149
L5,L8,0.010328860778900916,0.014305060987654133
L1,L11,0.010236689277394632,0.014212889486147847
L2,L12,0.009934343390248507,0.013910543599001724
L2,L7,0.00992728425084946,0.013903484459602676
L11,L14,0.009554407593506136,0.013530607802259353
L6,L12,0.008921572566510019,0.012897772775263234
L9,L18,0.008158587733782462,0.012134787942535679
L3,L9,0.007940885600781879,0.011917085809535096
L6,L10,0.007257305433510539,0.011233505642263754
L2,L11,0.007157476403597712,0.011133676612350929
L11,L16,0.0062705170970533955,0.010246717305806612
L9,L15,0.00608654553130827,0.010062745740061486
L7,L16,0.005713814368986835,0.00969001457774005
L11,L18,0.004224539509418945,0.008200739718172161
L1,L5,0.0034056619794065185,0.007381862188159735
L7,L18,0.0031066652131442004,0.007082865421897417
L10,L13,0.0027996369729951036,0.006775837181748319
L1,L13,0.0027750264038882565,0.006751226612641473
L2,L13,0.001879655586421395,0.005855855795174611
L7,L13,0.0015991965835069645,0.005575396792260181
L9,L20,0.0010107087091948024,0.004986908917948019
L4,L14,0.0002374094525608376,0.004213609661314054
L1,L14,0.00010626460849247507,0.004082464817245691
L2,L14,4.4219941002948094e-05,0.004020420149756164
L10,L19,-0.0006339706033172743,0.0033422296054359418
L6,L9,-0.0007277094911622433,0.003248490717590973
L12,L16,-0.0009729094734976787,0.0030032907352555375
L2,L16,-0.0013070883271163786,0.0026691118816368374
L1,L16,-0.001770546339237771,0.002205653869515445
L5,L17,-0.0018113693578359466,0.0021648308509172693
L2,L15,-0.0019154350378521399,0.0020607651709010763
L4,L16,-0.0021340538060920225,0.0018421464026611937
L1,L15,-0.0022378577513592485,0.0017383424573939677
L9,L13,-0.0023586306571519726,0.0016175695516012435
L2,L18,-0.0026316716528300772,0.001344528555923139
L4,L15,-0.002691267909981198,0.0012849322987720183
L5,L9,-0.0027761985631620362,0.00120000164559118
L2,L19,-0.002797940440199774,0.0011782597685534423
L12,L19,-0.002896431460555332,0.0010797687481978843
L3,L19,-0.0030687810524424076,0.0009074191563108085
L2,L17,-0.0032482857734413445,0.0007279144353118717
L1,L18,-0.003561606119899276,0.00041459408885394016
L12,L17,-0.0036205756353838345,0.0003556245733693816
L7,L10,-0.0037085373697412975,0.00026766283901191864
L1,L19,-0.0037937241629047674,0.00018247604584844873
L12,L15,-0.003933901424778191,4.2298783975025164e-05
L9,L21,-0.004073644018203508,-9.744380945029153e-05
L1,L17,-0.004188741625046589,-0.00021254141629337316
L2,L20,-0.0042542968797929254,-0.0002780966710397093
L4,L18,-0.004296500673946739,-0.0003203004651935225
L1,L7,-0.004393665344808012,-0.0004174651360547956
L4,L19,-0.004573319880618526,-0.00059711967186531
L3,L20,-0.004721767670747185,-0.000745567461993969
L5,L18,-0.004787216841114678,-0.0008110166323614621
L4,L17,-0.005130154602703016,-0.0011539543939497994
L5,L19,-0.005473809327826528,-0.0014976091190733115
L7,L20,-0.005730879113395883,-0.0017546789046426672
L1,L20,-0.00576825364347838,-0.001792053434725164
L11,L20,-0.006439203099722226,-0.00246300289096901
L12,L20,-0.006710185234533575,-0.002733985025780359
L2,L21,-0.006940506419627014,-0.0029643062108737975
L4,L20,-0.006953592748426877,-0.0029773925396736605
L6,L19,-0.007282427956733788,-0.0033062277479805717
L3,L21,-0.00774196197540231,-0.0037657617666490934
L5,L20,-0.008322858615845108,-0.004346658407091892
L8,L16,-0.00883427179009072,-0.004858071581337504
L5,L11,-0.009060641307467282,-0.005084441098714066
L1,L21,-0.00940219917093646,-0.005425998962183243
L3,L10,-0.010300923481522598,-0.006324723272769382
L4,L21,-0.011338127654016511,-0.007361927445263295
L6,L20,-0.011563913043497145,-0.007587712834743929
L3,L13,-0.011565943418689462,-0.007589743209936246
L8,L21,-0.011987605774947951,-0.008011405566194736
L1,L8,-0.01255111084633225,-0.008574910637579033
L13,L16,-0.012845468280690442,-0.008869268071937227
L5,L21,-0.013566175307210373,-0.009589975098457156
L1,L6,-0.014188253941810721,-0.010212053733057506
L6,L15,-0.015860383224614975,-0.01188418301586176
L10,L21,-0.016537355912039895,-0.01256115570328668
L4,L11,-0.017029063100140646,-0.013052862891387431
L11,L21,-0.019057699394862328,-0.015081499186109112
L2,L6,-0.019508310414823007,-0.015532110206069791
L3,L14,-0.01996032992353367,-0.015984129714780453
L14,L19,-0.021124056360718502,-0.017147856151965287
L16,L19,-0.025557781158375363,-0.021581580949622148
L8,L10,-0.02565882520222623,-0.021682624993473013
L7,L14,-0.02639020686411241,-0.022414006655359194
L10,L14,-0.026862416171830324,-0.02288621596307711
L12,L21,-0.029437827617529003,-0.025461627408775788
L15,L19,-0.029692380777668354,-0.02571618056891514
L18,L20,-0.03300697210915205,-0.029030771900398836
L8,L13,-0.033079690449816644,-0.02910349024106343
L5,L14,-0.033951526156337286,-0.02997532594758407
L6,L13,-0.035057973499069084,-0.03108177329031587
L15,L18,-0.036081545295732084,-0.03210534508697887
L13,L19,-0.037117450541648014,-0.0331412503328948
L6,L17,-0.03717857393983771,-0.03320237373108449
L3,L16,-0.04125542155572936,-0.037279221346976144
L8,L17,-0.04164133075126563,-0.037665130542512415
L14,L20,-0.04275652996130708,-0.03878032975255386
L3,L15,-0.0446965478492017,-0.04072034764044848
L8,L14,-0.04782735952504006,-0.043851159316286845
L5,L15,-0.04798600835495211,-0.0440098081461989
L11,L15,-0.048096561583467,-0.044120361374713785
L11,L17,-0.04949637641887303,-0.04552017621011981
L14,L15,-0.0507698356132227,-0.046793635404469486
L9,L16,-0.05248745025320053,-0.04851125004444731
L8,L19,-0.05561832501332966,-0.051642124804576445
L10,L15,-0.05603755692440961,-0.05206135671565639
L3,L11,-0.05816197877460813,-0.054185778565854915
L7,L11,-0.06248253255985924,-0.05850633235110603
L3,L6,-0.06294511006748142,-0.058968909858728207
L12,L13,-0.06356433035559975,-0.05958813014684653
L8,L11,-0.06695175960406201,-0.06297555939530879
L4,L13,-0.06778117502554518,-0.06380497481679195
L6,L18,-0.0682512049189005,-0.06427500471014727
L13,L20,-0.06960636829188634,-0.06563016808313311
L9,L14,-0.07072832327218143,-0.0667521230634282
L5,L13,-0.07412211132844496,-0.07014591111969173
L18,L21,-0.08076775102732481,-0.07679155081857159
L10,L11,-0.08098957466947658,-0.07701337446072336
L13,L18,-0.08198722457373857,-0.07801102436498535
L19,L20,-0.08304880526832145,-0.07907260505956823
L10,L16,-0.08639684682965398,-0.08242064662090076
L15,L20,-0.0878376637549256,-0.08386146354617238
L7,L15,-0.09390735768875864,-0.08993115748000542
L5,L6,-0.09657752284126828,-0.09260132263251505
L15,L16,-0.09702180275140679,-0.09304560254265357
L6,L7,-0.0975103126919248,-0.09353411248317157
L7,L12,-0.10203716359061495,-0.09806096338186172
L16,L21,-0.10503737981048969,-0.10106117960173647
L13,L14,-0.10994555487731002,-0.1059693546685568
L9,L12,-0.11450305717590248,-0.11052685696714926
L14,L17,-0.12395919249895238,-0.11998299229019915
L11,L12,-0.12821477748917323,-0.12423857728042001
L7,L8,-0.15730130022164415,-0.15332510001289093
L14,L18,-0.15764527015140378,-0.15366906994265056
L17,L20,-0.17148240133298998,-0.16750620112423675
L8,L9,-0.18034895853963073,-0.1763727583308775
L19,L21,-0.21658809037360768,-0.21261189016485446
L16,L17,-0.21845098435610594,-0.21447478414735272
L9,L10,-0.22131430317737602,-0.2173381029686228
L20,L21,-0.2520846085362788,-0.24810840832752556
L16,L18,-0.2943903267912254,-0.2904141265824722
